,EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Province/Territory,EVENT START DATE,FATALITIES,INJURED/INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY/PEOPLE AFFECTED,MAGNITUDE,start_date,end_date,Difference,Region,Province_Name
298,Disaster,Natural,Meteorological - Hydrological,Flood,Durham ON,ON,1997-01-09 00:00:00,0.0,0.0,200.0,,,1997-01-09 00:00:00,,,,,,,,0.0,0.0,1997-01-09,1997-01-09,0,Eastern Canada,Ontario
299,Disaster,Natural,Biological,Epidemic,Bay of Fundy NB,NB,1997-01-01 00:00:00,0.0,0.0,0.0,25881403.0,27312896.5,1997-01-01 00:00:00,21771004.0,4110399.0,,,,,,0.0,0.0,1997-01-01,1997-01-01,0,Eastern Canada,New Brunswick
300,Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southwestern British Columbia,BC,1996-12-29 00:00:00,0.0,0.0,0.0,215339641.0,231084384.2,1996-12-29 00:00:00,1583282.0,5440089.0,3821888.0,204494382.0,,,,0.0,0.0,1996-12-29,1996-12-29,0,Western Canada,British Columbia
301,Disaster,Natural,Meteorological - Hydrological,Flood,Nechako River BC,BC,1996-11-29 00:00:00,0.0,0.0,0.0,,,1996-11-29 00:00:00,0.0,0.0,,,,,,0.0,0.0,1996-11-29,1996-11-29,0,Western Canada,British Columbia
302,Disaster,Natural,Meteorological - Hydrological,Flood,Montreal and Mauricie Region QC,QC,1996-11-08 00:00:00,0.0,0.0,1000.0,93089380.0,99895690.1,1996-11-09 00:00:00,3435141.0,10709159.0,,,,78945080.0,,0.0,0.0,1996-11-08,1996-11-09,1,Eastern Canada,Quebec
303,Disaster,Natural,Meteorological - Hydrological,Flood,Ottawa ON,ON,1996-08-08 00:00:00,0.0,0.0,0.0,21308000.0,22865952.8,1996-08-08 00:00:00,0.0,0.0,,,,21308000.0,,0.0,0.0,1996-08-08,1996-08-08,0,Eastern Canada,Ontario
304,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Calgary AB,AB,1996-07-24 00:00:00,0.0,0.0,0.0,87877643.0,94302892.5,1996-07-25 00:00:00,0.0,0.0,,,,87877643.0,,0.0,0.0,1996-07-24,1996-07-25,1,Western Canada,Alberta
305,Disaster,Natural,Meteorological - Hydrological,Flood,Saguenay River Valley QC,QC,1996-07-19 00:00:00,10.0,0.0,15825.0,300000000.0,321934758.2,1996-07-19 00:00:00,300000000.0,,,,,,,0.0,0.0,1996-07-19,1996-07-19,0,Eastern Canada,Quebec
306,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Calgary AB,AB,1996-07-16 00:00:00,0.0,0.0,0.0,103000000.0,110530933.6,1996-07-18 00:00:00,,,,,,103000000.0,,0.0,0.0,1996-07-16,1996-07-18,2,Western Canada,Alberta
307,Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Winnipeg MB,MB,1996-07-16 00:00:00,0.0,0.0,0.0,105000000.0,112677165.4,1996-07-16 00:00:00,0.0,0.0,,,,105000000.0,,0.0,0.0,1996-07-16,1996-07-16,0,Western Canada,Manitoba
308,Disaster,Natural,Meteorological - Hydrological,Flood,Atikokan ON,ON,1996-07-05 00:00:00,0.0,0.0,0.0,278061.0,298391.7,1996-07-06 00:00:00,,,194537.0,83524.0,,,,0.0,0.0,1996-07-05,1996-07-06,1,Eastern Canada,Ontario
309,Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake area AB,AB,1996-06-17 00:00:00,0.0,0.0,922.0,18159797.0,19487566.2,1996-06-21 00:00:00,5693853.0,5466769.0,6999175.0,,,,,0.0,0.0,1996-06-17,1996-06-21,4,Western Canada,Alberta
310,Disaster,Natural,Meteorological - Hydrological,Flood,Timmins and Dufferin County ON,ON,1996-05-17 00:00:00,0.0,0.0,0.0,378557.0,406235.5,1996-05-19 00:00:00,,,131518.0,247039.0,,,,0.0,0.0,1996-05-17,1996-05-19,2,Eastern Canada,Ontario
311,Disaster,Natural,Meteorological - Hydrological,Tornado,"Grey County, Wellington and Dufferin County ON",ON,1996-04-20 00:00:00,0.0,9.0,0.0,9404772.0,10092410.0,1996-04-20 00:00:00,,,621641.0,439291.0,,8343840.0,,2895455.0,0.0,1996-04-20,1996-04-20,0,Eastern Canada,Ontario
312,Disaster,Natural,Meteorological - Hydrological,Flood,"Red River, Souris River, Assiniboine River and Pembina River MB",MB,1996-04-18 00:00:00,0.0,0.0,285.0,6816377.0,7314762.3,1996-05-08 00:00:00,4430930.0,2385447.0,,,,,,0.0,0.0,1996-04-18,1996-05-08,20,Western Canada,Manitoba
